月份,样本,选股,各股收益,QGT均收益,模型概率,仓位决策,策略收益,策略累计,QGT累计
2020-04,IS,TSLA / DXCM / AMD / NFLX / QQQ,TSLA:+49.8% / DXCM:+29.5% / AMD:+15.6% / NFLX:+10.4% / QQQ:+16.1%,24.28,78.2,满仓100%,24.28,288.0,160.1
2020-05,IS,ZM / TSLA / DXCM / NEM / TLT,ZM:+34.7% / TSLA:+13.7% / DXCM:+15.6% / NEM:+0.5% / TLT:-3.2%,12.24,81.3,满仓100%,12.24,335.4,191.9
2020-06,IS,ZM / W / DXCM / NEM / TWLO,ZM:+37.2% / W:+14.1% / DXCM:+6.9% / NEM:+4.8% / TWLO:+11.4%,14.88,64.1,满仓100%,14.88,400.2,235.4
2020-07,IS,W / ZM / TWLO / DXCM / CVNA,W:+38.7% / ZM:+2.2% / TWLO:+29.4% / DXCM:+7.8% / CVNA:+31.1%,21.81,65.6,满仓100%,21.81,509.3,308.5
2020-08,IS,W / TWLO / CVNA / TSLA / ZM,W:+9.3% / TWLO:-2.8% / CVNA:+37.2% / TSLA:+73.2% / ZM:+71.1%,37.62,48.0,半仓 50%,18.81,623.9,462.2
2020-09,IS,W / TSLA / CVNA / TWLO / TTD,W:-0.5% / TSLA:-12.2% / CVNA:+5.7% / TWLO:-8.9% / TTD:+8.9%,-1.41,27.2,空仓  0%,-0.0,623.9,454.2
2020-10,IS,TSLA / CVNA / ZM / W / ZG,TSLA:-10.6% / CVNA:-17.6% / ZM:-3.1% / W:-15.9% / ZG:-13.7%,-12.19,33.2,空仓  0%,-0.0,623.9,386.7
2020-11,IS,ZM / TSLA / PINS / ZG / Z,ZM:-6.0% / TSLA:+51.7% / PINS:+20.2% / ZG:+23.9% / Z:+22.5%,22.47,70.6,满仓100%,22.47,786.5,496.0
2020-12,IS,PINS / SNAP / ZM / TTD / ROKU,PINS:-6.9% / SNAP:+12.3% / ZM:-21.7% / TTD:-10.8% / ROKU:+17.0%,-2.02,52.3,半仓 50%,-1.01,777.6,484.0
2021-01,IS,SNAP / PINS / MSTR / TTD / ROKU,SNAP:+7.1% / PINS:+5.5% / MSTR:+49.0% / TTD:-2.0% / ROKU:+16.3%,15.16,67.7,满仓100%,15.16,910.6,572.5
2021-02,IS,ARWR / QQQ / SPY / GH / PODD,ARWR:+4.0% / QQQ:+0.4% / SPY:+3.2% / GH:-3.8% / PODD:-3.1%,0.13,69.2,满仓100%,0.13,911.9,573.4
2021-03,IS,ARWR / GH / SWKS / CGNX / WAT,ARWR:-17.1% / GH:+3.0% / SWKS:+2.7% / CGNX:-0.7% / WAT:+3.2%,-1.79,55.3,满仓100%,-1.79,893.8,561.3
2021-04,IS,MSTR / SWKS / J / WAT / GH,MSTR:-2.1% / SWKS:-2.1% / J:+3.8% / WAT:+6.2% / GH:+3.3%,1.82,68.6,满仓100%,1.82,911.9,573.4
2021-05,IS,J / SWKS / CARR / WAT / QQQ,J:+6.3% / SWKS:-6.0% / CARR:+5.6% / WAT:+6.9% / QQQ:-1.2%,2.32,64.0,满仓100%,2.32,935.4,589.0
2021-06,IS,J / CARR / WAT / NUE / SPY,J:-6.3% / CARR:+4.3% / WAT:+7.1% / NUE:-7.6% / SPY:+1.5%,-0.2,49.1,半仓 50%,-0.1,934.4,587.7
2021-07,IS,NUE / J / CARR / WAT / QQQ,NUE:+7.9% / J:+1.1% / CARR:+13.7% / WAT:+13.0% / QQQ:+3.5%,7.83,52.8,半仓 50%,3.92,974.9,641.5
2021-08,IS,MRNA / NET / NVDA / FTNT / BX,MRNA:+6.3% / NET:+0.6% / NVDA:+14.2% / FTNT:+15.8% / BX:+8.4%,9.05,65.3,满仓100%,9.05,1072.2,708.7
2021-09,IS,MRNA / NET / DDOG / RMD / FTNT,MRNA:-6.4% / NET:-5.8% / DDOG:+2.9% / RMD:-8.6% / FTNT:-8.3%,-5.26,61.6,满仓100%,-5.26,1010.6,666.1
2021-10,IS,MRNA / DDOG / NET / MDB / ZS,MRNA:-6.5% / DDOG:+17.9% / NET:+72.3% / MDB:+10.1% / ZS:+21.4%,23.05,57.6,满仓100%,23.05,1266.6,842.7
2021-11,IS,NET / MDB / DDOG / MRNA / U,NET:-2.4% / MDB:-3.8% / DDOG:+9.2% / MRNA:-1.5% / U:+14.1%,3.12,52.7,半仓 50%,1.56,1287.9,872.2
2021-12,IS,NET / TSLA / DDOG / U / MDB,NET:-31.1% / TSLA:-1.1% / DDOG:-2.2% / U:-17.2% / MDB:+2.6%,-9.8,27.8,空仓  0%,-0.0,1287.9,776.9
2022-01,OOS,ON / F / TSLA / DLTR / ANET,ON:-13.4% / F:-3.1% / TSLA:-18.5% / DLTR:-6.8% / ANET:-13.8%,-11.13,67.8,满仓100%,-11.13,1133.4,679.3
2022-02,OOS,F / DLTR / ANET / ON / CIEN,F:-15.5% / DLTR:+8.3% / ANET:-1.7% / ON:+5.4% / CIEN:+3.0%,-0.13,56.6,满仓100%,-0.13,1131.8,678.3
2022-03,OOS,HAL / AA / DVN / EOG / VRTX,HAL:+11.8% / AA:+17.7% / DVN:-1.1% / EOG:+2.8% / VRTX:+14.1%,9.08,76.9,满仓100%,9.08,1243.6,748.9
2022-04,OOS,OXY / AA / HAL / DVN / CVX,OXY:-4.0% / AA:-26.9% / HAL:-7.1% / DVN:-3.2% / CVX:-4.0%,-9.06,53.5,半仓 50%,-4.53,1182.7,672.0
2022-05,OOS,OXY / EQT / HAL / AA / BKR,OXY:+29.5% / EQT:+22.8% / HAL:+16.1% / AA:-8.8% / BKR:+18.8%,15.71,59.9,满仓100%,15.71,1384.3,793.3
2022-06,OOS,EQT / OXY / VLO / CTRA / HAL,EQT:-27.9% / OXY:-15.9% / VLO:-17.3% / CTRA:-25.2% / HAL:-23.0%,-21.86,52.7,半仓 50%,-10.93,1222.0,598.0
2022-07,OOS,EQT / VLO / OXY / CTRA / MPC,EQT:+23.3% / VLO:+1.1% / OXY:+9.7% / CTRA:+15.2% / MPC:+8.5%,11.57,47.7,半仓 50%,5.79,1298.5,678.8
2022-08,OOS,EQT / RBA / MNST / LLY / VICI,EQT:+9.6% / RBA:-3.6% / MNST:-10.6% / LLY:-8.1% / VICI:-3.6%,-3.27,84.1,满仓100%,-3.27,1252.7,653.3
2022-09,OOS,SMCI / ALNY / RBA / DECK / CDNS,SMCI:-11.4% / ALNY:-0.8% / RBA:-9.1% / DECK:-0.7% / CDNS:-3.9%,-5.17,79.8,满仓100%,-5.17,1182.7,614.3
2022-10,OOS,ALNY / SMCI / DKS / DECK / ON,ALNY:+2.1% / SMCI:+24.0% / DKS:+10.1% / DECK:+12.6% / ON:-0.4%,9.7,81.0,满仓100%,9.7,1307.1,683.5
2022-11,OOS,ALNY / DKS / AXON / DECK / LNG,ALNY:+5.2% / DKS:+3.0% / AXON:+20.9% / DECK:+11.9% / LNG:-0.6%,8.1,80.5,满仓100%,8.1,1421.0,747.0
2022-12,OOS,AXON / DXCM / SLB / SMCI / BIIB,AXON:-5.7% / DXCM:-1.8% / SLB:+1.0% / SMCI:-9.5% / BIIB:-9.4%,-5.07,74.0,满仓100%,-5.07,1344.0,704.1
2023-01,OOS,AXON / SMCI / SLB / GILD / AU,AXON:+17.4% / SMCI:-13.4% / SLB:+7.7% / GILD:-1.3% / AU:+5.0%,3.09,79.6,满仓100%,3.09,1388.6,728.9
2023-02,OOS,SCCO / FCX / AXON / WMG / HAL,SCCO:+1.6% / FCX:-3.8% / AXON:+5.9% / WMG:-13.6% / HAL:-11.1%,-4.2,67.7,满仓100%,-4.2,1326.0,694.1
2023-03,OOS,SCCO / NVDA / LVS / GE / FCX,SCCO:+1.4% / NVDA:+18.6% / LVS:+2.0% / GE:+13.1% / FCX:-3.5%,6.34,59.6,满仓100%,6.34,1416.4,744.4
